VaR,ES
1.86711005,2.29619765
1.86711005,2.29619765
1.86711005,2.29619765
1.86711005,2.29619765
1.86711005,2.29619765
1.84767623,2.278279762
1.84767623,2.278279762
1.84767623,2.278279762
1.84767623,2.278279762
1.84767623,2.278279762
1.84767623,2.278279762
1.84767623,2.278279762
1.84767623,2.278279762
1.84767623,2.278279762
1.84767623,2.278279762
1.84767623,2.278279762
1.867663215,2.297759913
1.867663215,2.297759913
1.869598386,2.295027214
1.869598386,2.295027214
1.869598386,2.295027214
1.869598386,2.295027214
1.869598386,2.295027214
1.869598386,2.295027214
1.869598386,2.295027214
1.869598386,2.295027214
1.869598386,2.295027214
1.869598386,2.295027214
1.869598386,2.295027214
1.869598386,2.295027214
1.869598386,2.295027214
1.869598386,2.295027214
1.869598386,2.295027214
1.869598386,2.295027214
1.869598386,2.295027214
1.869598386,2.295027214
1.869598386,2.295027214
1.869598386,2.295027214
1.869598386,2.295027214
1.865469808,2.291574989
1.865469808,2.291574989
1.865469808,2.291574989
1.865469808,2.291574989
1.865469808,2.291574989
1.865469808,2.291574989
1.865469808,2.291574989
1.865469808,2.291574989
1.865469808,2.291574989
1.865469808,2.291574989
1.865469808,2.291574989
1.865469808,2.291574989
1.865469808,2.291574989
1.865469808,2.291574989
1.843667708,2.266926619
1.86335278,2.285630089
1.86335278,2.285630089
1.86335278,2.285630089
1.864536709,2.280880776
1.864536709,2.280880776
1.867959962,2.280194179
1.867959962,2.280194179
1.867959962,2.280194179
1.867959962,2.280194179
1.867959962,2.280194179
1.867959962,2.280194179
1.867959962,2.280194179
1.867959962,2.280194179
1.867959962,2.280194179
1.867959962,2.280194179
1.867959962,2.280194179
1.867959962,2.280194179
1.863031237,2.276699513
1.866462385,2.276059461
1.866462385,2.276059461
1.866462385,2.276059461
1.866462385,2.276059461
1.866462385,2.276059461
1.866462385,2.276059461
1.866462385,2.276059461
1.866462385,2.276059461
1.866462385,2.276059461
1.866462385,2.276059461
1.866462385,2.276059461
1.866462385,2.276059461
1.866462385,2.276059461
1.866462385,2.276059461
1.866462385,2.276059461
1.863436084,2.277822751
1.863436084,2.277822751
1.869605651,2.284751341
1.869605651,2.284751341
1.869605651,2.284751341
1.869605651,2.284751341
1.869605651,2.284751341
1.869605651,2.284751341
1.869605651,2.284751341
1.869605651,2.284751341
1.869605651,2.284751341
1.869605651,2.284751341
1.869605651,2.284751341
1.869605651,2.284751341
1.874935336,2.28851332
1.874935336,2.28851332
1.874935336,2.28851332
1.874935336,2.28851332
1.874935336,2.28851332
1.874935336,2.28851332
1.874935336,2.28851332
1.874935336,2.28851332
1.874935336,2.28851332
1.874935336,2.28851332
1.874935336,2.28851332
1.882572037,2.308655159
1.882572037,2.308655159
1.882572037,2.308655159
1.882572037,2.308655159
1.882572037,2.308655159
1.882572037,2.308655159
1.882988975,2.310945141
1.882988975,2.310945141
1.879389666,2.312140656
1.879389666,2.312140656
1.879389666,2.312140656
1.875875384,2.312761606
1.875875384,2.312761606
1.882269524,2.32030037
1.882269524,2.32030037
1.8761625,2.31357792
1.8809137,2.316453206
1.8809137,2.316453206
1.8809137,2.316453206
1.8809137,2.316453206
1.8809137,2.316453206
1.88546735,2.317917309
1.880228021,2.314511389
1.883868824,2.313416577
1.883868824,2.313416577
1.883868824,2.313416577
1.883868824,2.313416577
1.883868824,2.313416577
1.880515586,2.302907085
1.880515586,2.302907085
1.88775367,2.308805315
1.88775367,2.308805315
1.88775367,2.308805315
1.88775367,2.308805315
1.900729389,2.319112001
1.900729389,2.319112001
1.900729389,2.319112001
