VaR,ES
5.126691949,3.22157784
5.126691949,3.22157784
5.126691949,3.22157784
5.126691949,3.22157784
5.176229106,3.252127781
5.176229106,3.252127781
5.176229106,3.252127781
5.176229106,3.252127781
5.176229106,3.252127781
5.253531371,3.297950072
5.326147686,3.341892127
5.42847747,3.403136537
5.42847747,3.403136537
5.42847747,3.403136537
5.42847747,3.403136537
5.424823118,3.402424671
5.424823118,3.402424671
5.424823118,3.402424671
5.435592553,3.407357014
5.43105767,3.406096435
5.43105767,3.406096435
5.43105767,3.406096435
5.43105767,3.406096435
5.496943229,3.445902892
5.496943229,3.445902892
5.496943229,3.445902892
5.605248139,3.511919278
5.70496663,3.572928852
5.70496663,3.572928852
5.844685738,3.658505722
5.844685738,3.658505722
5.844685738,3.658505722
5.908433221,3.698750799
5.908433221,3.698750799
5.984144886,3.7457629
5.984144886,3.7457629
6.023347673,3.770060041
6.023347673,3.770060041
6.083194145,3.809008975
6.074017211,3.803103624
6.074017211,3.803103624
6.074017211,3.803103624
6.074017211,3.803103624
6.074017211,3.803103624
6.074017211,3.803103624
5.986240009,3.746885282
6.045928024,3.784225946
6.045928024,3.784225946
6.138926267,3.843140781
6.138926267,3.843140781
6.138926267,3.843140781
6.138926267,3.843140781
6.006577777,3.760402905
6.006577777,3.760402905
6.019579711,3.768491046
6.019579711,3.768491046
6.019579711,3.768491046
6.019579711,3.768491046
6.019579711,3.768491046
6.019579711,3.768491046
6.019579711,3.768491046
6.019579711,3.768491046
6.019579711,3.768491046
5.984651713,3.748637421
5.984651713,3.748637421
5.984651713,3.748637421
5.984651713,3.748637421
5.984651713,3.748637421
5.95460651,3.732246972
5.95460651,3.732246972
5.95460651,3.732246972
5.95460651,3.732246972
5.985172396,3.750987763
5.985172396,3.750987763
6.054787989,3.792937893
6.054787989,3.792937893
6.054787989,3.792937893
6.054787989,3.792937893
6.054787989,3.792937893
6.054787989,3.792937893
6.054787989,3.792937893
6.054787989,3.792937893
6.054787989,3.792937893
6.054787989,3.792937893
6.054787989,3.792937893
6.054787989,3.792937893
6.054787989,3.792937893
6.057201371,3.794397771
6.059150908,3.795962043
6.047776099,3.789692998
6.047776099,3.789692998
6.053865825,3.795022949
6.053865825,3.795022949
6.066679592,3.803977305
6.066679592,3.803977305
6.066679592,3.803977305
6.066679592,3.803977305
6.066679592,3.803977305
6.066679592,3.803977305
6.066679592,3.803977305
6.066679592,3.803977305
6.066679592,3.803977305
6.093673036,3.820627631
6.093673036,3.820627631
6.093673036,3.820627631
6.093673036,3.820627631
6.093673036,3.820627631
6.093673036,3.820627631
6.093673036,3.820627631
6.093673036,3.820627631
6.093673036,3.820627631
6.093673036,3.820627631
6.093673036,3.820627631
6.093673036,3.820627631
5.970835659,3.75505164
6.003620847,3.773823385
6.003620847,3.773823385
6.003620847,3.773823385
6.003620847,3.773823385
6.003620847,3.773823385
6.003620847,3.773823385
6.003620847,3.773823385
6.003620847,3.773823385
6.003620847,3.773823385
6.013534288,3.779641669
6.013534288,3.779641669
6.013534288,3.779641669
5.883330446,3.714128367
5.883330446,3.714128367
5.883330446,3.714128367
5.883330446,3.714128367
5.883330446,3.714128367
5.883330446,3.714128367
5.883330446,3.714128367
5.883330446,3.714128367
5.883330446,3.714128367
5.883330446,3.714128367
5.883330446,3.714128367
5.898267557,3.722635777
5.898267557,3.722635777
5.898267557,3.722635777
